ilkid	gp	minutes	pts	reb	asts	turnover	fga	fgm
ABDELAL01 	256	3200	1465	846	85	247	1236	620
ABDULKA01 	1560	57446	38387	17440	5660	2527	28307	15837
ABDULMA01 	586	15633	8553	1087	2079	963	7943	3514
ABDULTA01 	236	4808	1830	776	266	309	1726	720
ABDURSH01 	830	28883	15028	6239	2109	2136	11515	5434
ABERNTO01 	319	5434	1779	1011	384	129	1472	724
ABLEFO01  	1	1	0	1	1	0	2	0
ABRAMJO01 	56	0	533	0	37	0	855	203
ACKERAL01 	30	234	81	29	16	11	92	34
ACKERDO01 	28	220	43	15	23	0	63	14
ACRESMA01 	375	5982	1343	1525	180	235	1016	514
ACTONCH01 	23	195	77	47	11	0	74	29
ADAMSAL01 	988	27203	13910	6937	4012	2194	11464	5709
ADAMSDO01 	507	13132	4497	2848	957	52	4437	1781
ADAMSDO01 	16	342	101	68	54	27	98	42
ADAMSGE01 	215	3903	1652	873	317	292	1440	716
AdamsHa01 	72	549	185	84	14	26	148	79
ADAMSMI01 	653	20446	9621	1900	4209	1402	7849	3257
ADDISRA01 	379	5697	2186	777	339	284	2047	920
ADELMRI01 	462	10427	3579	1129	1606	0	3330	1381
AfflaAr01 	149	2211	639	271	96	77	541	230
AgerMa01  	77	469	154	44	18	25	177	58
AGUIRMA01 	923	27730	18458	4578	2871	2306	14865	7201
AhearBl01 	13	177	73	16	17	18	56	16
AINGEDA01 	1042	27755	11964	2768	4199	1566	9905	4643
AITCHMA01 	45	637	252	160	18	37	247	100
AjincAl01 	31	181	70	30	3	12	69	25
AKINHE01  	2	25	4	4	1	4	4	1
AKINHE01  	86	712	304	177	39	0	367	129
ALARIMA01 	325	5500	2432	1120	363	309	2184	1037
ALCORGA01 	78	844	261	329	24	0	352	103
AldriLa01 	220	7048	3385	1490	303	290	2883	1403
ALEKSCH01 	74	1114	377	270	36	72	337	161
ALEXACO01 	305	4842	1677	481	834	467	1508	587
ALEXACO02 	187	4069	1690	409	227	203	1552	655
ALEXAGA01 	11	55	19	15	2	8	14	8
AlexaJo01 	59	717	278	115	42	52	245	102
ALEXAVI01 	286	5756	2542	1384	257	378	2126	1101
ALFORST01 	169	1641	744	144	176	89	634	291
ALLENBI01 	38	857	300	269	23	38	280	120
ALLENBO01 	27	232	48	56	10	0	43	14
ALLENJE01 	41	362	108	25	49	34	105	36
ALLENLU01 	702	20159	9407	2205	3174	247	8385	3884
ALLENMA01 	408	6627	2206	1239	208	295	2217	982
ALLENRA01 	70	789	252	145	23	30	258	114
ALLENRA02 	942	35095	19661	4180	3544	2207	15319	6865
ALLENTO01 	282	5311	2093	728	367	405	1592	752
ALLENWI01 	7	30	13	14	4	6	13	4
ALLISOD01 	36	166	67	45	10	0	78	17
AllreLa01 	3	10	3	1	0	0	4	1
ALLUMDA01 	22	276	59	65	25	23	67	23
AlmonMo01 	34	297	105	38	10	18	96	37
ALSTODE01 	139	2658	751	525	94	112	650	318
ALSTORA01 	619	17968	6369	1762	3026	1100	5944	2294
ALUMAPE01 	2	5	2	2	0	2	2	1
AMAECJO01 	294	4814	1837	772	228	386	1646	663
AMAYAAS01 	85	1248	379	355	36	67	292	133
AmundLo01 	103	1194	355	310	29	63	281	148
ANDERAL01 	53	819	305	102	53	54	262	112
ANDERAN01 	194	4786	2081	527	327	173	1958	803
ANDERBO01 	33	373	133	69	29	0	143	55
ANDERCA01 	680	14040	4953	4246	385	926	4090	2011
ANDERCH01 	329	5693	1752	1664	182	281	1317	638
ANDERCL01 	3	22	6	4	4	0	4	2
ANDERCL01 	81	581	247	103	68	0	202	71
ANDERDA01 	140	4025	1707	1316	158	212	1421	683
ANDERDA02 	95	1067	347	91	166	0	286	135
ANDERDE01 	615	17975	7357	1988	2083	1052	5922	2419
ANDERDW01 	5	33	21	2	3	5	14	7
ANDERER01 	27	83	42	31	5	7	35	12
ANDERJE01 	49	290	127	25	16	0	104	51
ANDERKE01 	21	224	63	45	15	22	77	24
ANDERKE02 	858	25870	10789	2641	5196	1768	9512	4002
ANDERMI01 	157	1970	751	439	110	131	658	306
ANDERMI02 	36	730	204	89	153	84	175	73
ANDERNI01 	800	24922	11529	4063	2087	1358	9891	4416
ANDERRI01 	407	6002	2260	1418	611	362	2206	909
ANDERRO01 	664	15112	7056	2312	952	730	6239	2936
AnderRy01 	66	1312	487	311	52	63	407	160
ANDERSH01 	719	15951	5327	2252	1007	959	4366	1996
ANDERWA01 	44	370	159	82	9	0	166	65
ANDERWI01 	555	15974	6771	2082	2105	1163	5952	2804
ANDRIMA01 	6	10	0	4	0	0	1	0
ANIELDO01 	1	10	3	2	0	0	4	0
ANSLEMI01 	149	2143	1026	621	67	85	746	383
ANSTECH01 	155	2157	813	534	127	147	734	303
ANTHOCA01 	445	16106	10768	2731	1367	1374	8408	3864
ANTHOGR01 	757	15848	5497	1417	2997	1043	4749	1914
AnthoJo01 	89	1550	229	290	30	58	178	85
ARAUJRA01 	140	1604	393	396	47	111	392	158
ARCENST01 	7	110	50	32	4	0	56	22
ARCHINA01 	876	31159	16481	2046	6476	1123	12628	5899
ARCHIRO01 	44	328	51	69	16	17	53	15
ARDJI01   	213	3100	1138	1012	129	169	1039	452
ARDJI01   	218	2666	771	820	149	14	831	300
ARENAGI01 	433	16172	9853	1828	2387	1438	7436	3174
ARIZATR01 	311	6212	2159	1169	400	329	1718	808
ARIZIPA01 	713	24897	16266	6129	1665	0	13354	5628
ARLAUJO01 	9	85	34	13	8	4	43	14
ARMSTBJ01 	747	17790	7320	1321	2479	889	5981	2850
ARMSTBO01 	19	110	28	39	3	0	37	11
ARMSTBR01 	108	699	239	63	24	37	287	101
ARMSTDA01 	840	19913	7712	2270	3394	1556	6506	2663
ArmstHi01 	190	2449	692	504	62	174	519	273
ARMSTPA01 	153	0	1040	89	358	0	1176	347
ARMSTTA01 	92	975	350	88	105	79	350	159
ARNELJE01 	31	409	147	170	18	0	164	52
ARNETJA01 	114	1177	424	116	139	0	447	163
ARNZEBO01 	55	594	301	152	24	0	277	128
ARNZEBO01 	56	358	142	65	11	8	134	63
ARROYCA01 	407	7567	2925	696	1354	552	2527	1090
ARTESRO01 	604	21041	9720	3087	1915	1371	8193	3453
ArthuDa01 	76	1464	422	346	43	47	436	191
ARTHUJO01 	11	86	35	14	17	0	35	12
ASKEWVI01 	467	9361	3313	1176	1017	503	2534	1215
ASKINKE01 	486	7983	1852	1428	375	321	1688	677
ASMONDO01 	7	46	5	1	5	0	15	2
ATHARI01  	43	448	137	66	51	0	135	53
ATKINCH01 	656	16661	6702	1157	2305	986	5865	2422
ATTLEAL01 	711	17826	6328	2463	2483	0	5545	2499
AUBUCCH01 	30	0	65	0	20	0	91	23
AUGMOST01 	1001	21659	7990	3217	1561	1248	6480	3037
AugusDJ01 	72	1906	850	133	250	119	621	267
AugusJa01 	27	157	42	33	4	6	37	19
AUSTIIS01 	432	8350	3285	2030	538	701	2901	1295
AUSTIJO01 	41	692	317	64	58	57	279	108
AUSTIJO01 	4	61	23	7	4	0	22	5
AUSTIKE01 	7	28	12	3	1	3	13	6
AVENTAN01 	352	6729	1958	1584	278	416	2019	814
AVERIWI01 	130	2221	1085	161	330	143	1103	432
AVERIWI01 	236	5942	3349	519	748	590	3200	1311
AVERYWI01 	142	1205	379	93	199	106	415	137
AWTREDE01 	733	14159	3516	3342	1467	245	3009	1382
AzubuKe01 	196	4786	2046	788	220	192	1652	751
BABICMI01 	21	87	37	20	10	10	32	12
BACHJO01  	34	0	119	0	25	0	119	34
BACONHE01 	47	425	166	82	38	64	164	60
BAECHJI01 	321	8256	3123	1009	685	0	2876	1117
BAGARDA01 	95	975	251	238	37	72	269	97
BAGLEJO01 	665	17120	5802	1729	3980	1512	5398	2359
BAILECA01 	1	7	2	0	0	2	1	1
BAILEGU01 	147	1346	389	244	168	45	384	156
BAILEJA01 	595	11625	5246	2988	488	1057	4228	2045
BAILETH01 	928	24873	11834	4718	1298	1444	10056	4753
BAILETO01 	73	698	241	126	43	35	226	92
BAKERJI01 	5	40	6	14	4	6	15	3
BAKERMA01 	1	2	0	0	0	1	1	0
BAKERMA02 	5	19	0	2	1	1	1	0
BAKERNO01 	4	0	0	0	0	0	1	0
BAKERVI01 	791	25737	11839	5867	1508	1756	9675	4692
BalkmRe01 	185	2796	822	713	118	121	658	340
BALLAGR01 	802	22073	9953	4858	1733	1059	8942	4220
BALLCE01  	7	26	8	11	0	2	8	3
BALTIHE01 	58	0	138	0	16	0	263	53
BANKSGE01 	468	13074	5305	2718	1335	835	3961	2134
BANKSMA01 	324	5307	1946	498	700	414	1643	702
BANKSWA01 	16	154	41	49	8	0	34	17
BANNIKE01 	253	3867	1501	893	111	347	1202	586
BANTOMI01 	706	19725	8568	4517	1623	946	7362	3446
BARBEJO01 	5	5	7	6	0	0	8	2
BARBOLE01 	422	10930	5456	1029	1146	652	4283	2018
BARDOST01 	33	299	73	60	44	22	85	28
BareaJo01 	155	2236	883	243	348	152	801	344
BargnAn01 	221	5946	2745	959	233	330	2308	978
BARKECL01 	149	494	557	181	294	0	637	201
BARKETO01 	98	1830	639	520	75	34	592	250
BARKLCH01 	1073	39330	23757	12546	4215	3376	15605	8435
BARKLER01 	27	266	77	21	40	17	90	32
BARKSDO01 	262	7460	2895	2088	549	0	2747	1016
BARNEDI01 	971	28937	15358	2812	2729	0	13227	6034
BARNEHA01 	22	126	43	26	5	0	64	18
BARNEJI01 	454	9455	3997	2939	377	0	3607	1548
BARNEJI02 	732	17410	8536	2259	2232	0	7642	3326
BARNEMA01 	144	5563	3465	1927	399	537	2916	1458
BARNEMA01 	171	3718	1569	946	252	222	1444	638
BARNEMA02 	363	7366	2530	1500	640	439	2172	942
BARNENA01 	12	73	27	8	8	8	26	12
BARNHJO01 	426	10054	3648	1193	1205	0	3583	1490
BARNHJO01 	163	3871	1437	308	488	12	1407	534
